"","ID","suit_2050s","crops"
"200",200,0,"plantain bananas"
"201",201,0,"plantain bananas"
"202",202,0,"plantain bananas"
"203",203,0,"plantain bananas"
"204",204,0,"plantain bananas"
"205",205,0,"plantain bananas"
"206",206,0,"plantain bananas"
"207",207,0,"plantain bananas"
"208",208,0,"plantain bananas"
"209",209,0,"plantain bananas"
"210",210,0,"plantain bananas"
"211",211,0,"plantain bananas"
"212",212,0,"plantain bananas"
"213",213,0,"plantain bananas"
"214",214,0,"plantain bananas"
"215",215,0,"plantain bananas"
"216",216,0,"plantain bananas"
"217",217,0,"plantain bananas"
"218",218,0,"plantain bananas"
"219",219,0,"plantain bananas"
"220",220,0,"plantain bananas"
"221",221,0,"plantain bananas"
"222",222,0,"plantain bananas"
"223",223,0,"plantain bananas"
"224",224,0,"plantain bananas"
"225",225,0,"plantain bananas"
"226",226,0,"plantain bananas"
"227",227,0,"plantain bananas"
"228",228,0,"plantain bananas"
"229",229,0,"plantain bananas"
"230",230,0,"plantain bananas"
"231",231,0,"plantain bananas"
"232",232,0,"plantain bananas"
"233",233,0,"plantain bananas"
"234",234,0,"plantain bananas"
"235",235,0,"plantain bananas"
"236",236,0,"plantain bananas"
"237",237,0,"plantain bananas"
"238",238,0,"plantain bananas"
"239",239,0,"plantain bananas"
"240",240,0,"plantain bananas"
"241",241,0,"plantain bananas"
"242",242,0,"plantain bananas"
"243",243,0,"plantain bananas"
"244",244,0,"plantain bananas"
"245",245,0,"plantain bananas"
"246",246,0,"plantain bananas"
"247",247,0,"plantain bananas"
"248",248,0,"plantain bananas"
"249",249,0,"plantain bananas"
"250",250,0,"plantain bananas"
"251",251,0,"plantain bananas"
"252",252,0,"plantain bananas"
"253",253,0,"plantain bananas"
"254",254,0,"plantain bananas"
"255",255,0,"plantain bananas"
"256",256,0,"plantain bananas"
"257",257,0,"plantain bananas"
"258",258,0,"plantain bananas"
"259",259,0,"plantain bananas"
"260",260,0,"plantain bananas"
"261",261,0,"plantain bananas"
"262",262,0,"plantain bananas"
"263",263,0,"plantain bananas"
"264",264,0,"plantain bananas"
"265",265,0,"plantain bananas"
"266",266,0,"plantain bananas"
"267",267,0,"plantain bananas"
"268",268,0,"plantain bananas"
"269",269,0,"plantain bananas"
"270",270,0,"plantain bananas"
"271",271,0,"plantain bananas"
"272",272,0,"plantain bananas"
"273",273,0,"plantain bananas"
"274",274,0,"plantain bananas"
"275",275,0,"plantain bananas"
"276",276,0,"plantain bananas"
"277",277,0,"plantain bananas"
"278",278,0,"plantain bananas"
"279",279,0,"plantain bananas"
"280",280,0,"plantain bananas"
"281",281,0,"plantain bananas"
"282",282,0,"plantain bananas"
"283",283,0,"plantain bananas"
"284",284,0,"plantain bananas"
"285",285,0,"plantain bananas"
"286",286,0,"plantain bananas"
"287",287,0,"plantain bananas"
"288",288,0,"plantain bananas"
"289",289,0,"plantain bananas"
"290",290,0,"plantain bananas"
"291",291,0,"plantain bananas"
"292",292,0,"plantain bananas"
