"","ID","suit_hist","cell","crops"
"1",1,0.491525411605835,22895,"potato"
"2",1,0.423728823661804,22896,"potato"
"3",1,0.338983058929443,22897,"potato"
"4",1,0.491525411605835,23087,"potato"
"5",1,0.423728823661804,23088,"potato"
"6",1,0.338983058929443,23089,"potato"
"7",1,0.440677970647812,23280,"potato"
"8",1,0.322033911943436,23281,"potato"
"9",2,0.576271176338196,20587,"potato"
"10",2,0.98305082321167,20589,"potato"
"11",2,0.45762711763382,20778,"potato"
"12",2,0.610169470310211,20779,"potato"
"13",2,0.966101706027985,20780,"potato"
"14",2,1,20781,"potato"
"15",2,0.796610176563263,20782,"potato"
"16",2,0.474576264619827,20970,"potato"
"17",2,0.593220353126526,20971,"potato"
"18",2,0.932203412055969,20972,"potato"
"19",2,1,20973,"potato"
"20",2,0.864406764507294,20974,"potato"
"21",2,0.576271176338196,21163,"potato"
"22",2,0.796610176563263,21164,"potato"
"23",2,1,21165,"potato"
"24",2,0.932203412055969,21166,"potato"
"25",2,0.474576264619827,21167,"potato"
"26",2,0.491525411605835,21355,"potato"
"27",2,0.644067823886871,21356,"potato"
"28",2,0.949152529239655,21357,"potato"
"29",2,0.932203412055969,21358,"potato"
"30",2,0.55932205915451,21359,"potato"
"31",2,0.593220353126526,21548,"potato"
"32",2,0.813559293746948,21549,"potato"
"33",2,0.881355941295624,21550,"potato"
"34",2,0.627118647098541,21740,"potato"
"35",2,0.762711882591248,21741,"potato"
"36",2,0.813559293746948,21742,"potato"
"37",2,0.677966117858887,21932,"potato"
"38",2,0.779660999774933,21933,"potato"
"39",2,0.728813588619232,22124,"potato"
"40",2,0.711864411830902,22125,"potato"
"41",3,0.440677970647812,18669,"potato"
"42",3,0.45762711763382,18858,"potato"
"43",3,0.423728823661804,18859,"potato"
"44",3,0.491525411605835,18860,"potato"
"45",3,0.610169470310211,18861,"potato"
"46",3,0.576271176338196,18862,"potato"
"47",3,0.440677970647812,18863,"potato"
"48",3,0.45762711763382,19050,"potato"
"49",3,0.406779646873474,19051,"potato"
"50",3,0.474576264619827,19052,"potato"
"51",3,0.627118647098541,19053,"potato"
"52",3,0.593220353126526,19054,"potato"
"53",3,0.45762711763382,19055,"potato"
"54",3,0.338983058929443,19056,"potato"
"55",3,0.440677970647812,19242,"potato"
"56",3,0.406779646873474,19243,"potato"
"57",3,0.491525411605835,19244,"potato"
"58",3,0.711864411830902,19245,"potato"
"59",3,0.677966117858887,19246,"potato"
"60",3,0.576271176338196,19247,"potato"
"61",3,0.338983058929443,19248,"potato"
"62",3,0.440677970647812,19434,"potato"
"63",3,0.406779646873474,19435,"potato"
"64",3,0.491525411605835,19436,"potato"
"65",3,0.644067823886871,19437,"potato"
"66",3,0.677966117858887,19438,"potato"
"67",3,0.474576264619827,19439,"potato"
"68",3,0.305084735155106,19440,"potato"
"69",3,0.237288132309914,19441,"potato"
"70",3,0.406779646873474,19626,"potato"
"71",3,0.406779646873474,19627,"potato"
"72",3,0.440677970647812,19628,"potato"
"73",3,0.576271176338196,19629,"potato"
"74",3,0.677966117858887,19630,"potato"
"75",3,0.491525411605835,19631,"potato"
"76",3,0.305084735155106,19632,"potato"
"77",3,0.220338985323906,19633,"potato"
"78",3,0.203389823436737,19634,"potato"
"79",3,0.440677970647812,19818,"potato"
"80",3,0.406779646873474,19819,"potato"
"81",3,0.45762711763382,19820,"potato"
"82",3,0.55932205915451,19821,"potato"
"83",3,0.779660999774933,19822,"potato"
