"","ID","suit_hist","suit_2030","suit_2050","cell","crops"
"1",1,0,0,0,22895,"tomato"
"2",1,0,0,0,22896,"tomato"
"3",1,0,0,0,22897,"tomato"
"4",1,0,0,0,23087,"tomato"
"5",1,0,0,0,23088,"tomato"
"6",1,0,0,0,23089,"tomato"
"7",1,0,0,0,23280,"tomato"
"8",1,0,0,0,23281,"tomato"
"9",2,0,0,0,20587,"tomato"
"10",2,0.344827592372894,0.293103456497192,0.103448279201984,20589,"tomato"
"11",2,0,0,0,20778,"tomato"
"12",2,0,0,0,20779,"tomato"
"13",2,0.327586203813553,0.275862067937851,0.0862068980932236,20780,"tomato"
"14",2,0.448275864124298,0.396551728248596,0.189655169844627,20781,"tomato"
"15",2,0.155172407627106,0.103448279201984,0,20782,"tomato"
"16",2,0,0,0,20970,"tomato"
"17",2,0,0,0,20971,"tomato"
"18",2,0.293103456497192,0.241379305720329,0.0689655169844627,20972,"tomato"
"19",2,0.534482777118683,0.482758611440659,0.275862067937851,20973,"tomato"
"20",2,0.224137932062149,0.172413796186447,0,20974,"tomato"
"21",2,0,0,0,21163,"tomato"
"22",2,0.155172407627106,0.103448279201984,0,21164,"tomato"
"23",2,0.448275864124298,0.396551728248596,0.206896558403969,21165,"tomato"
"24",2,0.293103456497192,0.241379305720329,0.0689655169844627,21166,"tomato"
"25",2,0,0,0,21167,"tomato"
"26",2,0,0,0,21355,"tomato"
"27",2,0,0,0,21356,"tomato"
"28",2,0.310344815254211,0.25862067937851,0.0862068980932236,21357,"tomato"
"29",2,0.293103456497192,0.241379305720329,0.0689655169844627,21358,"tomato"
"30",2,0,0,0,21359,"tomato"
"31",2,0,0,0,21548,"tomato"
"32",2,0.172413796186447,0.137931033968925,0,21549,"tomato"
"33",2,0.241379305720329,0.189655169844627,0.0172413792461157,21550,"tomato"
"34",2,0,0,0,21740,"tomato"
"35",2,0.120689652860165,0.0862068980932236,0,21741,"tomato"
"36",2,0.172413796186447,0.137931033968925,0,21742,"tomato"
"37",2,0.0344827584922314,0,0,21932,"tomato"
"38",2,0.137931033968925,0.103448279201984,0,21933,"tomato"
"39",2,0.0862068980932236,0.0517241396009922,0,22124,"tomato"
"40",2,0.0689655169844627,0.0344827584922314,0,22125,"tomato"
"41",3,0,0,0,18669,"tomato"
"42",3,0,0,0,18858,"tomato"
"43",3,0,0,0,18859,"tomato"
"44",3,0,0,0,18860,"tomato"
"45",3,0,0,0,18861,"tomato"
"46",3,0,0,0,18862,"tomato"
"47",3,0,0,0,18863,"tomato"
"48",3,0,0,0,19050,"tomato"
"49",3,0,0,0,19051,"tomato"
"50",3,0,0,0,19052,"tomato"
"51",3,0,0,0,19053,"tomato"
"52",3,0,0,0,19054,"tomato"
"53",3,0,0,0,19055,"tomato"
"54",3,0,0,0,19056,"tomato"
"55",3,0,0,0,19242,"tomato"
"56",3,0,0,0,19243,"tomato"
"57",3,0,0,0,19244,"tomato"
"58",3,0.0689655169844627,0.0172413792461157,0,19245,"tomato"
"59",3,0.0344827584922314,0,0,19246,"tomato"
"60",3,0,0,0,19247,"tomato"
"61",3,0,0,0,19248,"tomato"
"62",3,0,0,0,19434,"tomato"
"63",3,0,0,0,19435,"tomato"
"64",3,0,0,0,19436,"tomato"
"65",3,0,0,0,19437,"tomato"
"66",3,0.0344827584922314,0,0,19438,"tomato"
"67",3,0,0,0,19439,"tomato"
"68",3,0,0,0,19440,"tomato"
"69",3,0,0,0,19441,"tomato"
"70",3,0,0,0,19626,"tomato"
"71",3,0,0,0,19627,"tomato"
"72",3,0,0,0,19628,"tomato"
"73",3,0,0,0,19629,"tomato"
"74",3,0.0344827584922314,0,0,19630,"tomato"
"75",3,0,0,0,19631,"tomato"
"76",3,0,0,0,19632,"tomato"
"77",3,0,0,0,19633,"tomato"
"78",3,0,0,0,19634,"tomato"
"79",3,0,0,0,19818,"tomato"
"80",3,0,0,0,19819,"tomato"
