"","ID","suit_hist","cell","x","y","crops"
"1",1,0.607142865657806,22895,35.8541666666667,0.0625000000000009,"sesame seed"
"2",1,0.508928596973419,22896,35.8958333333333,0.0625000000000009,"sesame seed"
"3",1,0.428571432828903,22897,35.9375,0.0625000000000009,"sesame seed"
"4",1,0.589285731315613,23087,35.8541666666667,0.0208333333333339,"sesame seed"
"5",1,0.5,23088,35.8958333333333,0.0208333333333339,"sesame seed"
"6",1,0.419642865657806,23089,35.9375,0.0208333333333339,"sesame seed"
"7",1,0.517857134342194,23280,35.8958333333333,-0.020833333333333,"sesame seed"
"8",1,0.419642865657806,23281,35.9375,-0.020833333333333,"sesame seed"
"9",2,0.508928596973419,20587,35.6875,0.562500000000001,"sesame seed"
"10",2,0.786200046539307,20589,35.7708333333333,0.562500000000001,"sesame seed"
"11",2,0.446428567171097,20778,35.6458333333333,0.520833333333334,"sesame seed"
"12",2,0.535714268684387,20779,35.6875,0.520833333333334,"sesame seed"
"13",2,0.905200123786926,20780,35.7291666666667,0.520833333333334,"sesame seed"
"14",2,0.836599946022034,20781,35.7708333333333,0.520833333333334,"sesame seed"
"15",2,0.776785731315613,20782,35.8125,0.520833333333334,"sesame seed"
"16",2,0.526785731315613,20970,35.6458333333333,0.479166666666667,"sesame seed"
"17",2,0.553571403026581,20971,35.6875,0.479166666666667,"sesame seed"
"18",2,0.892857134342194,20972,35.7291666666667,0.479166666666667,"sesame seed"
"19",2,0.846199989318848,20973,35.7708333333333,0.479166666666667,"sesame seed"
"20",2,0.837999939918518,20974,35.8125,0.479166666666667,"sesame seed"
"21",2,0.580357134342194,21163,35.6875,0.437500000000001,"sesame seed"
"22",2,0.767857134342194,21164,35.7291666666667,0.437500000000001,"sesame seed"
"23",2,0.860200047492981,21165,35.7708333333333,0.437500000000001,"sesame seed"
"24",2,0.826399981975555,21166,35.8125,0.437500000000001,"sesame seed"
"25",2,0.482142865657806,21167,35.8541666666667,0.437500000000001,"sesame seed"
"26",2,0.553571403026581,21355,35.6875,0.395833333333334,"sesame seed"
"27",2,0.642857134342194,21356,35.7291666666667,0.395833333333334,"sesame seed"
"28",2,0.872999966144562,21357,35.7708333333333,0.395833333333334,"sesame seed"
"29",2,0.800999999046326,21358,35.8125,0.395833333333334,"sesame seed"
"30",2,0.517857134342194,21359,35.8541666666667,0.395833333333334,"sesame seed"
"31",2,0.732142865657806,21548,35.7291666666667,0.354166666666667,"sesame seed"
"32",2,0.857142865657806,21549,35.7708333333333,0.354166666666667,"sesame seed"
"33",2,0.8125,21550,35.8125,0.354166666666667,"sesame seed"
"34",2,0.767857134342194,21740,35.7291666666667,0.312500000000001,"sesame seed"
"35",2,0.848214268684387,21741,35.7708333333333,0.312500000000001,"sesame seed"
"36",2,0.833399951457977,21742,35.8125,0.312500000000001,"sesame seed"
"37",2,0.857142865657806,21932,35.7291666666667,0.270833333333334,"sesame seed"
"38",2,0.890600025653839,21933,35.7708333333333,0.270833333333334,"sesame seed"
"39",2,0.8435999751091,22124,35.7291666666667,0.229166666666667,"sesame seed"
"40",2,0.766800045967102,22125,35.7708333333333,0.229166666666667,"sesame seed"
"41",3,0.241071432828903,18669,35.7708333333333,0.979166666666667,"sesame seed"
"42",3,0.232142850756645,18858,35.6458333333333,0.937500000000001,"sesame seed"
"43",3,0.241071432828903,18859,35.6875,0.937500000000001,"sesame seed"
"44",3,0.303571432828903,18860,35.7291666666667,0.937500000000001,"sesame seed"
"45",3,0.446428567171097,18861,35.7708333333333,0.937500000000001,"sesame seed"
"46",3,0.419642865657806,18862,35.8125,0.937500000000001,"sesame seed"
"47",3,0.1875,18863,35.8541666666667,0.937500000000001,"sesame seed"
"48",3,0.241071432828903,19050,35.6458333333333,0.895833333333334,"sesame seed"
"49",3,0.232142850756645,19051,35.6875,0.895833333333334,"sesame seed"
"50",3,0.3125,19052,35.7291666666667,0.895833333333334,"sesame seed"
"51",3,0.517857134342194,19053,35.7708333333333,0.895833333333334,"sesame seed"
"52",3,0.482142865657806,19054,35.8125,0.895833333333334,"sesame seed"
"53",3,0.258928567171097,19055,35.8541666666667,0.895833333333334,"sesame seed"
"54",3,0.0714285746216774,19056,35.8958333333333,0.895833333333334,"sesame seed"
"55",3,0.232142850756645,19242,35.6458333333333,0.854166666666667,"sesame seed"
"56",3,0.232142850756645,19243,35.6875,0.854166666666667,"sesame seed"
"57",3,0.366071432828903,19244,35.7291666666667,0.854166666666667,"sesame seed"
