"","ID","suit_hist","cell","x","y","crops"
"1",1,0,22895,35.8541666666667,0.0625000000000009,"coffee robusta"
"2",1,0,22896,35.8958333333333,0.0625000000000009,"coffee robusta"
"3",1,0,22897,35.9375,0.0625000000000009,"coffee robusta"
"4",1,0,23087,35.8541666666667,0.0208333333333339,"coffee robusta"
"5",1,0,23088,35.8958333333333,0.0208333333333339,"coffee robusta"
"6",1,0,23089,35.9375,0.0208333333333339,"coffee robusta"
"7",1,0,23280,35.8958333333333,-0.020833333333333,"coffee robusta"
"8",1,0,23281,35.9375,-0.020833333333333,"coffee robusta"
"9",2,0,20587,35.6875,0.562500000000001,"coffee robusta"
"10",2,0,20589,35.7708333333333,0.562500000000001,"coffee robusta"
"11",2,0,20778,35.6458333333333,0.520833333333334,"coffee robusta"
"12",2,0,20779,35.6875,0.520833333333334,"coffee robusta"
"13",2,0,20780,35.7291666666667,0.520833333333334,"coffee robusta"
"14",2,0,20781,35.7708333333333,0.520833333333334,"coffee robusta"
"15",2,0,20782,35.8125,0.520833333333334,"coffee robusta"
"16",2,0,20970,35.6458333333333,0.479166666666667,"coffee robusta"
"17",2,0,20971,35.6875,0.479166666666667,"coffee robusta"
"18",2,0,20972,35.7291666666667,0.479166666666667,"coffee robusta"
"19",2,0,20973,35.7708333333333,0.479166666666667,"coffee robusta"
"20",2,0,20974,35.8125,0.479166666666667,"coffee robusta"
"21",2,0,21163,35.6875,0.437500000000001,"coffee robusta"
"22",2,0,21164,35.7291666666667,0.437500000000001,"coffee robusta"
"23",2,0,21165,35.7708333333333,0.437500000000001,"coffee robusta"
"24",2,0,21166,35.8125,0.437500000000001,"coffee robusta"
"25",2,0,21167,35.8541666666667,0.437500000000001,"coffee robusta"
"26",2,0,21355,35.6875,0.395833333333334,"coffee robusta"
"27",2,0,21356,35.7291666666667,0.395833333333334,"coffee robusta"
"28",2,0,21357,35.7708333333333,0.395833333333334,"coffee robusta"
"29",2,0,21358,35.8125,0.395833333333334,"coffee robusta"
"30",2,0,21359,35.8541666666667,0.395833333333334,"coffee robusta"
"31",2,0,21548,35.7291666666667,0.354166666666667,"coffee robusta"
"32",2,0,21549,35.7708333333333,0.354166666666667,"coffee robusta"
"33",2,0,21550,35.8125,0.354166666666667,"coffee robusta"
"34",2,0,21740,35.7291666666667,0.312500000000001,"coffee robusta"
"35",2,0,21741,35.7708333333333,0.312500000000001,"coffee robusta"
"36",2,0,21742,35.8125,0.312500000000001,"coffee robusta"
"37",2,0,21932,35.7291666666667,0.270833333333334,"coffee robusta"
"38",2,0,21933,35.7708333333333,0.270833333333334,"coffee robusta"
"39",2,0,22124,35.7291666666667,0.229166666666667,"coffee robusta"
"40",2,0,22125,35.7708333333333,0.229166666666667,"coffee robusta"
"41",3,0,18669,35.7708333333333,0.979166666666667,"coffee robusta"
"42",3,0,18858,35.6458333333333,0.937500000000001,"coffee robusta"
"43",3,0,18859,35.6875,0.937500000000001,"coffee robusta"
"44",3,0,18860,35.7291666666667,0.937500000000001,"coffee robusta"
"45",3,0,18861,35.7708333333333,0.937500000000001,"coffee robusta"
"46",3,0,18862,35.8125,0.937500000000001,"coffee robusta"
"47",3,0,18863,35.8541666666667,0.937500000000001,"coffee robusta"
"48",3,0,19050,35.6458333333333,0.895833333333334,"coffee robusta"
"49",3,0,19051,35.6875,0.895833333333334,"coffee robusta"
"50",3,0,19052,35.7291666666667,0.895833333333334,"coffee robusta"
"51",3,0,19053,35.7708333333333,0.895833333333334,"coffee robusta"
"52",3,0,19054,35.8125,0.895833333333334,"coffee robusta"
"53",3,0,19055,35.8541666666667,0.895833333333334,"coffee robusta"
"54",3,0,19056,35.8958333333333,0.895833333333334,"coffee robusta"
"55",3,0,19242,35.6458333333333,0.854166666666667,"coffee robusta"
"56",3,0,19243,35.6875,0.854166666666667,"coffee robusta"
"57",3,0,19244,35.7291666666667,0.854166666666667,"coffee robusta"
"58",3,0,19245,35.7708333333333,0.854166666666667,"coffee robusta"
"59",3,0,19246,35.8125,0.854166666666667,"coffee robusta"
"60",3,0,19247,35.8541666666667,0.854166666666667,"coffee robusta"
"61",3,0,19248,35.8958333333333,0.854166666666667,"coffee robusta"
"62",3,0,19434,35.6458333333333,0.812500000000001,"coffee robusta"
"63",3,0,19435,35.6875,0.812500000000001,"coffee robusta"
"64",3,0,19436,35.7291666666667,0.812500000000001,"coffee robusta"
"65",3,0,19437,35.7708333333333,0.812500000000001,"coffee robusta"
"66",3,0,19438,35.8125,0.812500000000001,"coffee robusta"
"67",3,0,19439,35.8541666666667,0.812500000000001,"coffee robusta"
"68",3,0,19440,35.8958333333333,0.812500000000001,"coffee robusta"
"69",3,0,19441,35.9375,0.812500000000001,"coffee robusta"
"70",3,0,19626,35.6458333333333,0.770833333333334,"coffee robusta"
"71",3,0,19627,35.6875,0.770833333333334,"coffee robusta"
"72",3,0,19628,35.7291666666667,0.770833333333334,"coffee robusta"
"73",3,0,19629,35.7708333333333,0.770833333333334,"coffee robusta"
"74",3,0,19630,35.8125,0.770833333333334,"coffee robusta"
"75",3,0,19631,35.8541666666667,0.770833333333334,"coffee robusta"
"76",3,0,19632,35.8958333333333,0.770833333333334,"coffee robusta"
"77",3,0,19633,35.9375,0.770833333333334,"coffee robusta"
"78",3,0,19634,35.9791666666667,0.770833333333334,"coffee robusta"
"79",3,0,19818,35.6458333333333,0.729166666666667,"coffee robusta"
"80",3,0,19819,35.6875,0.729166666666667,"coffee robusta"
"81",3,0,19820,35.7291666666667,0.729166666666667,"coffee robusta"
