"","ID","iso3","alloc_key","cell5m","x","y","bean, common","cacao","cassava","chick pea","coconut","coffee arabica","coffee robusta","cowpea","groundnut","lentil","maize","pearl millet","pigeon pea","plantain bananas","potato","sesame seed","sorghum (med. altitude)","soyabean","sugar beet","sunflower","sweet potato","tea","tobacco","wheat, common"
"713",713,"KEN","10762577",4646576,34.7083333325,0.3749999996,1,0.877090990543365,0.799549520015717,1,0.706000089645386,0.861111104488373,0.095238097012043,1,0.817166745662689,1,1,0.67246150970459,1,0,1,1,0.742857098579407,0.996400058269501,0.379310339689255,1,0.9765625,0.785714268684387,1,0.940828382968903
"714",714,"KEN","10762578",4646577,34.7916666658,0.3749999996,1,0.822181880474091,0.790540516376495,1,0.630500078201294,0.847222208976746,0.130952388048172,0.976799964904785,0.780333340167999,1,1,0.627384603023529,1,0,1,1,0.753714263439178,0.95660001039505,0.241379305720329,1,1,0.793706297874451,1,0.781065106391907
"715",715,"KEN","10762579",4646578,34.8749999991,0.3749999996,1,0.790181934833527,0.824324309825897,1,0.58650016784668,0.777777791023254,0.095238097012043,0.944800019264221,0.745283007621765,0.97927463054657,1,0.606153845787048,1,0,0.990338146686554,0.98800003528595,0.736142933368683,0.899200081825256,0.236842110753059,1,1,0.702380955219269,1,0.715976357460022
"716",716,"KEN","10762580",4646579,34.9583333325,0.3749999996,1,0.716363549232483,0.787999927997589,1,0.480769217014313,0.597222208976746,0,0.867199897766113,0.670499980449677,0.987046658992767,1,0.513230681419373,0.982323229312897,0,0.997584521770477,0.867199897766113,0.619428515434265,0.821200013160706,0.276315778493881,1,1,0.333333343267441,1,0.733727812767029
"717",717,"KEN","10762581",4646580,35.0416666658,0.3749999996,1,0.333333343267441,0.636400043964386,1,0.115384615957737,0.284722208976746,0,0.701600074768066,0.530333340167999,1,0.906500101089478,0.404000073671341,0.847500085830688,0,1,0.701600074768066,0.501142919063568,0.657200038433075,0.368421047925949,0.964333355426788,0.78125,0,1,0.917159736156464
"718",718,"KEN","10762582",4646581,35.1249999991,0.3749999996,1,0.111111111938953,0.640799880027771,1,0.0192307699471712,0.1875,0,0.689200043678284,0.535666644573212,1,0.896551728248596,0.396307736635208,0.861500024795532,0,1,0.715200066566467,0.510857164859772,0.666000008583069,0.578947365283966,0.971666634082794,0.53125,0,1,0.946745574474335
"719",719,"KEN","10762583",4646582,35.2083333325,0.3749999996,1,0,0.606800079345703,1,0,0.0555555559694767,0,0.660400032997131,0.505666732788086,1,0.863999962806702,0.377846121788025,0.796296298503876,0,1,0.691199958324432,0.471714287996292,0.633600056171417,0.618421077728271,0.944666683673859,0.390625,0,1,0.994082868099213
"720",720,"KEN","10762584",4646583,35.2916666658,0.3749999996,1,0,0.5,0.784615397453308,0,0,0,0.631600022315979,0.479000002145767,1,0.832000017166138,0.358153849840164,0.754000008106232,0,0.98305082321167,0.665600001811981,0.451142847537994,0.5,0.362068951129913,0.784615397453308,0.140625,0,0.688888907432556,0.792207777500153
"721",721,"KEN","10762585",4646584,35.3749999991,0.3749999996,1,0,0.444444447755814,0.615384638309479,0,0,0,0.60319995880127,0.283018857240677,0.830769240856171,0.802749991416931,0.340153843164444,0.718249976634979,0,0.796610176563263,0.642199993133545,0.430857121944427,0.224999994039536,0.103448279201984,0.615384638309479,0,0,0.444444447755814,0.649350643157959
"722",722,"KEN","10762586",4646585,35.4583333325,0.3749999996,0.97733336687088,0,0.398148149251938,0.553846180438995,0,0,0,0.541600048542023,0.207547172904015,0.769230782985687,0.724500060081482,0.292000025510788,0.640500009059906,0,0.728813588619232,0.579600036144257,0.386857181787491,0.125,0.275862067937851,0.553846180438995,0,0,0.355555564165115,0.597402572631836
