"","ID","suit_hist","cell","NA","NA","crops"
"1",1,0,22895,35.8541666666667,0.0625000000000009,"soyabean"
"2",1,0,22896,35.8958333333333,0.0625000000000009,"soyabean"
"3",1,0,22897,35.9375,0.0625000000000009,"soyabean"
"4",1,0,23087,35.8541666666667,0.0208333333333339,"soyabean"
"5",1,0,23088,35.8958333333333,0.0208333333333339,"soyabean"
"6",1,0,23089,35.9375,0.0208333333333339,"soyabean"
"7",1,0,23280,35.8958333333333,-0.020833333333333,"soyabean"
"8",1,0,23281,35.9375,-0.020833333333333,"soyabean"
"9",2,0,20587,35.6875,0.562500000000001,"soyabean"
"10",2,0.5,20589,35.7708333333333,0.562500000000001,"soyabean"
"11",2,0,20778,35.6458333333333,0.520833333333334,"soyabean"
"12",2,0,20779,35.6875,0.520833333333334,"soyabean"
"13",2,0.474999994039536,20780,35.7291666666667,0.520833333333334,"soyabean"
"14",2,0.649999976158142,20781,35.7708333333333,0.520833333333334,"soyabean"
"15",2,0.224999994039536,20782,35.8125,0.520833333333334,"soyabean"
"16",2,0,20970,35.6458333333333,0.479166666666667,"soyabean"
"17",2,0,20971,35.6875,0.479166666666667,"soyabean"
"18",2,0.425000011920929,20972,35.7291666666667,0.479166666666667,"soyabean"
"19",2,0.774999976158142,20973,35.7708333333333,0.479166666666667,"soyabean"
"20",2,0.324999988079071,20974,35.8125,0.479166666666667,"soyabean"
"21",2,0,21163,35.6875,0.437500000000001,"soyabean"
"22",2,0.224999994039536,21164,35.7291666666667,0.437500000000001,"soyabean"
"23",2,0.649999976158142,21165,35.7708333333333,0.437500000000001,"soyabean"
"24",2,0.425000011920929,21166,35.8125,0.437500000000001,"soyabean"
"25",2,0,21167,35.8541666666667,0.437500000000001,"soyabean"
"26",2,0,21355,35.6875,0.395833333333334,"soyabean"
"27",2,0,21356,35.7291666666667,0.395833333333334,"soyabean"
"28",2,0.449999988079071,21357,35.7708333333333,0.395833333333334,"soyabean"
"29",2,0.425000011920929,21358,35.8125,0.395833333333334,"soyabean"
"30",2,0,21359,35.8541666666667,0.395833333333334,"soyabean"
"31",2,0,21548,35.7291666666667,0.354166666666667,"soyabean"
"32",2,0.25,21549,35.7708333333333,0.354166666666667,"soyabean"
"33",2,0.349999994039536,21550,35.8125,0.354166666666667,"soyabean"
"34",2,0,21740,35.7291666666667,0.312500000000001,"soyabean"
"35",2,0.174999997019768,21741,35.7708333333333,0.312500000000001,"soyabean"
"36",2,0.25,21742,35.8125,0.312500000000001,"soyabean"
"37",2,0.0500000007450581,21932,35.7291666666667,0.270833333333334,"soyabean"
"38",2,0.200000002980232,21933,35.7708333333333,0.270833333333334,"soyabean"
"39",2,0.125,22124,35.7291666666667,0.229166666666667,"soyabean"
"40",2,0.100000001490116,22125,35.7708333333333,0.229166666666667,"soyabean"
"41",3,0,18669,35.7708333333333,0.979166666666667,"soyabean"
"42",3,0,18858,35.6458333333333,0.937500000000001,"soyabean"
"43",3,0,18859,35.6875,0.937500000000001,"soyabean"
"44",3,0,18860,35.7291666666667,0.937500000000001,"soyabean"
"45",3,0,18861,35.7708333333333,0.937500000000001,"soyabean"
"46",3,0,18862,35.8125,0.937500000000001,"soyabean"
"47",3,0,18863,35.8541666666667,0.937500000000001,"soyabean"
"48",3,0,19050,35.6458333333333,0.895833333333334,"soyabean"
"49",3,0,19051,35.6875,0.895833333333334,"soyabean"
"50",3,0,19052,35.7291666666667,0.895833333333334,"soyabean"
"51",3,0,19053,35.7708333333333,0.895833333333334,"soyabean"
"52",3,0,19054,35.8125,0.895833333333334,"soyabean"
"53",3,0,19055,35.8541666666667,0.895833333333334,"soyabean"
"54",3,0,19056,35.8958333333333,0.895833333333334,"soyabean"
"55",3,0,19242,35.6458333333333,0.854166666666667,"soyabean"
"56",3,0,19243,35.6875,0.854166666666667,"soyabean"
"57",3,0,19244,35.7291666666667,0.854166666666667,"soyabean"
"58",3,0.100000001490116,19245,35.7708333333333,0.854166666666667,"soyabean"
"59",3,0.0500000007450581,19246,35.8125,0.854166666666667,"soyabean"
"60",3,0,19247,35.8541666666667,0.854166666666667,"soyabean"
"61",3,0,19248,35.8958333333333,0.854166666666667,"soyabean"
"62",3,0,19434,35.6458333333333,0.812500000000001,"soyabean"
"63",3,0,19435,35.6875,0.812500000000001,"soyabean"
"64",3,0,19436,35.7291666666667,0.812500000000001,"soyabean"
"65",3,0,19437,35.7708333333333,0.812500000000001,"soyabean"
"66",3,0.0500000007450581,19438,35.8125,0.812500000000001,"soyabean"
"67",3,0,19439,35.8541666666667,0.812500000000001,"soyabean"
"68",3,0,19440,35.8958333333333,0.812500000000001,"soyabean"
"69",3,0,19441,35.9375,0.812500000000001,"soyabean"
"70",3,0,19626,35.6458333333333,0.770833333333334,"soyabean"
"71",3,0,19627,35.6875,0.770833333333334,"soyabean"
"72",3,0,19628,35.7291666666667,0.770833333333334,"soyabean"
"73",3,0,19629,35.7708333333333,0.770833333333334,"soyabean"
"74",3,0.0500000007450581,19630,35.8125,0.770833333333334,"soyabean"
"75",3,0,19631,35.8541666666667,0.770833333333334,"soyabean"
"76",3,0,19632,35.8958333333333,0.770833333333334,"soyabean"
"77",3,0,19633,35.9375,0.770833333333334,"soyabean"
"78",3,0,19634,35.9791666666667,0.770833333333334,"soyabean"
"79",3,0,19818,35.6458333333333,0.729166666666667,"soyabean"
"80",3,0,19819,35.6875,0.729166666666667,"soyabean"
"81",3,0,19820,35.7291666666667,0.729166666666667,"soyabean"
"82",3,0,19821,35.7708333333333,0.729166666666667,"soyabean"
