"","ID","suit_hist","cell","NA","NA","crops"
"1",1,0,22895,35.8541666666667,0.0625000000000009,"groundnut"
"2",1,0,22896,35.8958333333333,0.0625000000000009,"groundnut"
"3",1,0,22897,35.9375,0.0625000000000009,"groundnut"
"4",1,0,23087,35.8541666666667,0.0208333333333339,"groundnut"
"5",1,0,23088,35.8958333333333,0.0208333333333339,"groundnut"
"6",1,0,23089,35.9375,0.0208333333333339,"groundnut"
"7",1,0,23280,35.8958333333333,-0.020833333333333,"groundnut"
"8",1,0,23281,35.9375,-0.020833333333333,"groundnut"
"9",2,0.0377358496189117,20587,35.6875,0.562500000000001,"groundnut"
"10",2,0.490566045045853,20589,35.7708333333333,0.562500000000001,"groundnut"
"11",2,0,20778,35.6458333333333,0.520833333333334,"groundnut"
"12",2,0.0754716992378235,20779,35.6875,0.520833333333334,"groundnut"
"13",2,0.471698105335236,20780,35.7291666666667,0.520833333333334,"groundnut"
"14",2,0.603773593902588,20781,35.7708333333333,0.520833333333334,"groundnut"
"15",2,0.283018857240677,20782,35.8125,0.520833333333334,"groundnut"
"16",2,0,20970,35.6458333333333,0.479166666666667,"groundnut"
"17",2,0.0566037744283676,20971,35.6875,0.479166666666667,"groundnut"
"18",2,0.433962255716324,20972,35.7291666666667,0.479166666666667,"groundnut"
"19",2,0.63100004196167,20973,35.7708333333333,0.479166666666667,"groundnut"
"20",2,0.3584905564785,20974,35.8125,0.479166666666667,"groundnut"
"21",2,0.0377358496189117,21163,35.6875,0.437500000000001,"groundnut"
"22",2,0.283018857240677,21164,35.7291666666667,0.437500000000001,"groundnut"
"23",2,0.603773593902588,21165,35.7708333333333,0.437500000000001,"groundnut"
"24",2,0.433962255716324,21166,35.8125,0.437500000000001,"groundnut"
"25",2,0,21167,35.8541666666667,0.437500000000001,"groundnut"
"26",2,0,21355,35.6875,0.395833333333334,"groundnut"
"27",2,0.113207548856735,21356,35.7291666666667,0.395833333333334,"groundnut"
"28",2,0.452830195426941,21357,35.7708333333333,0.395833333333334,"groundnut"
"29",2,0.433962255716324,21358,35.8125,0.395833333333334,"groundnut"
"30",2,0.0188679248094559,21359,35.8541666666667,0.395833333333334,"groundnut"
"31",2,0.0566037744283676,21548,35.7291666666667,0.354166666666667,"groundnut"
"32",2,0.301886796951294,21549,35.7708333333333,0.354166666666667,"groundnut"
"33",2,0.377358496189117,21550,35.8125,0.354166666666667,"groundnut"
"34",2,0.0943396240472794,21740,35.7291666666667,0.312500000000001,"groundnut"
"35",2,0.245283022522926,21741,35.7708333333333,0.312500000000001,"groundnut"
"36",2,0.301886796951294,21742,35.8125,0.312500000000001,"groundnut"
"37",2,0.150943398475647,21932,35.7291666666667,0.270833333333334,"groundnut"
"38",2,0.264150947332382,21933,35.7708333333333,0.270833333333334,"groundnut"
"39",2,0.207547172904015,22124,35.7291666666667,0.229166666666667,"groundnut"
"40",2,0.188679248094559,22125,35.7708333333333,0.229166666666667,"groundnut"
"41",3,0,18669,35.7708333333333,0.979166666666667,"groundnut"
"42",3,0,18858,35.6458333333333,0.937500000000001,"groundnut"
"43",3,0,18859,35.6875,0.937500000000001,"groundnut"
"44",3,0,18860,35.7291666666667,0.937500000000001,"groundnut"
"45",3,0.0754716992378235,18861,35.7708333333333,0.937500000000001,"groundnut"
"46",3,0.0377358496189117,18862,35.8125,0.937500000000001,"groundnut"
"47",3,0,18863,35.8541666666667,0.937500000000001,"groundnut"
"48",3,0,19050,35.6458333333333,0.895833333333334,"groundnut"
"49",3,0,19051,35.6875,0.895833333333334,"groundnut"
"50",3,0,19052,35.7291666666667,0.895833333333334,"groundnut"
"51",3,0.0943396240472794,19053,35.7708333333333,0.895833333333334,"groundnut"
"52",3,0.0566037744283676,19054,35.8125,0.895833333333334,"groundnut"
"53",3,0,19055,35.8541666666667,0.895833333333334,"groundnut"
"54",3,0,19056,35.8958333333333,0.895833333333334,"groundnut"
"55",3,0,19242,35.6458333333333,0.854166666666667,"groundnut"
"56",3,0,19243,35.6875,0.854166666666667,"groundnut"
"57",3,0,19244,35.7291666666667,0.854166666666667,"groundnut"
"58",3,0.188679248094559,19245,35.7708333333333,0.854166666666667,"groundnut"
"59",3,0.150943398475647,19246,35.8125,0.854166666666667,"groundnut"
"60",3,0.0377358496189117,19247,35.8541666666667,0.854166666666667,"groundnut"
"61",3,0,19248,35.8958333333333,0.854166666666667,"groundnut"
"62",3,0,19434,35.6458333333333,0.812500000000001,"groundnut"
"63",3,0,19435,35.6875,0.812500000000001,"groundnut"
"64",3,0,19436,35.7291666666667,0.812500000000001,"groundnut"
"65",3,0.113207548856735,19437,35.7708333333333,0.812500000000001,"groundnut"
"66",3,0.150943398475647,19438,35.8125,0.812500000000001,"groundnut"
"67",3,0,19439,35.8541666666667,0.812500000000001,"groundnut"
"68",3,0,19440,35.8958333333333,0.812500000000001,"groundnut"
"69",3,0,19441,35.9375,0.812500000000001,"groundnut"
"70",3,0,19626,35.6458333333333,0.770833333333334,"groundnut"
"71",3,0,19627,35.6875,0.770833333333334,"groundnut"
"72",3,0,19628,35.7291666666667,0.770833333333334,"groundnut"
"73",3,0.0377358496189117,19629,35.7708333333333,0.770833333333334,"groundnut"
"74",3,0.150943398475647,19630,35.8125,0.770833333333334,"groundnut"
"75",3,0,19631,35.8541666666667,0.770833333333334,"groundnut"
"76",3,0,19632,35.8958333333333,0.770833333333334,"groundnut"
"77",3,0,19633,35.9375,0.770833333333334,"groundnut"
"78",3,0,19634,35.9791666666667,0.770833333333334,"groundnut"
